,avg_rating,title,genres,release_year,relevant_tags,relevan_tags
0,3.133128834355828,"Yards, The",Crime|Drama,2000,"crime, political corruption","crime, political corruption"
1,2.865199034981906,Next Friday,Comedy,2000,"funny, prison escape, funny as hell","funny, prison escape, funny as hell"
2,2.6793529971455756,Down to You,Comedy|Romance,2000,"teen, teen movie","teen, teen movie"
3,2.2899543378995433,Isn't She Great?,Comedy,2000,cancer,cancer
4,2.449002979601192,Scream 3,Comedy|Horror|Mystery|Thriller,2000,"scary, stupid as hell","scary, stupid as hell"
5,3.8604633612557544,"Boondock Saints, The",Action|Crime|Drama|Thriller,2000,"crime, gratuitous violence, organized crime, violent, violence","crime, gratuitous violence, organized crime, violent, violence"
6,2.93202416918429,Gun Shy,Comedy,2000,undercover cop,undercover cop
7,3.5028730628591327,Boiler Room,Crime|Drama|Thriller,2000,"business, con artists","business, con artists"
8,3.467957221024706,Pitch Black,Horror|Sci-Fi|Thriller,2000,"alien, alien invasion, aliens, clones, future, futuristic, sci fi, sci-fi, science fiction, scifi, space","alien, alien invasion, aliens, clones, future, futuristic, sci fi, sci-fi, science fiction, scifi, space"
9,2.6599091226843763,Reindeer Games,Action|Thriller,2000,heist,heist
10,2.6896941568487445,Mission to Mars,Sci-Fi,2000,"alien, aliens, astronauts, nasa, sci fi, sci-fi, science, science fiction, scifi, scifi cult, space","alien, aliens, astronauts, nasa, sci fi, sci-fi, science, science fiction, scifi, scifi cult, space"
11,3.58566862247132,Erin Brockovich,Drama,2000,"lawyer, lawyers, oscar, true story","lawyer, lawyers, oscar, true story"
12,2.7580299785867237,Whatever It Takes,Comedy|Romance,2000,"geek, geeks, teen, teen movie, teenager, teenagers, teens","geek, geeks, teen, teen movie, teenager, teenagers, teens"
13,3.1421800947867298,Waking the Dead,Drama|Thriller,2000,"death, political","death, political"
14,2.7716974555594285,"Skulls, The",Thriller,2000,"idiotic, stupid","idiotic, stupid"
15,3.550515074189585,Frequency,Drama|Thriller,2000,"future, sci fi, sci-fi, science fiction, scifi","future, sci fi, sci-fi, science fiction, scifi"
16,2.454397394136808,Ready to Rumble,Comedy,2000,"idiotic, stupid","idiotic, stupid"
17,3.2969160104986877,Rules of Engagement,Drama|Thriller,2000,"lawyer, military","lawyer, military"
18,3.074074074074074,Where the Money Is,Comedy|Drama,2000,heist,heist
19,3.747422680412371,"Filth and the Fury, The",Documentary,2000,"musicians, music","musicians, music"
20,3.3497534246575342,U-571,Action|Thriller|War,2000,"war, wartime","war, wartime"
21,2.2678916827853,"Crow: Salvation, The",Action|Horror,2000,death,death
22,1.8689690198070086,"Flintstones in Viva Rock Vegas, The",Children|Comedy,2000,cartoon,cartoon
23,3.9697196661673444,Gladiator,Action|Adventure|Drama,2000,"cinematography, epic, gratuitous violence, imdb top 250, masterpiece, oscar (best picture), oscar winner, violent, visceral, entertaining, oscar, violence","cinematography, epic, gratuitous violence, imdb top 250, masterpiece, oscar (best picture), oscar winner, violent, visceral, entertaining, oscar, violence"
24,1.5912449205762838,Battlefield Earth,Action|Sci-Fi,2000,"alien, horrible, sci fi, sci-fi, science fiction, scifi, scifi cult, stupid as hell","alien, horrible, sci fi, sci-fi, science fiction, scifi, scifi cult, stupid as hell"
25,2.5604534005037785,Screwed,Comedy,2000,"funniest movies, idiotic, stupid, stupidity, suprisingly clever, funny as hell","funniest movies, idiotic, stupid, stupidity, suprisingly clever, funny as hell"
26,3.053789731051345,Dinosaur,Adventure|Animation|Children,2000,"animated, animation, cartoon, computer animation, dinosaurs","animated, animation, cartoon, computer animation, dinosaurs"
27,2.627556818181818,Loser,Comedy|Romance,2000,"college, teen, teen movie","college, teen, teen movie"
28,3.1193065625580965,Road Trip,Comedy,2000,"college, dumb but funny, funny, teen, teen movie, teens","college, dumb but funny, funny, teen, teen movie, teens"
29,2.9835969537199767,Mission: Impossible II,Action|Adventure|Thriller,2000,"spying, violence","spying, violence"
30,3.253999507752892,Shanghai Noon,Action|Adventure|Comedy|Western,2000,fun movie,fun movie
31,2.3668623946898135,Big Momma's House,Comedy,2000,"funny, undercover cop","funny, undercover cop"
32,3.1036991704066366,Gone in 60 Seconds,Action|Crime,2000,heist,heist
33,2.7041095890410958,Boys and Girls,Comedy|Romance,2000,"teen, teen movie","teen, teen movie"
34,2.9571324334184603,Shaft,Action|Crime|Thriller,2000,violence,violence
35,3.2796350466638806,Titan A.E.,Action|Adventure|Animation|Children|Sci-Fi,2000,"alien, aliens, animation, computer animation, futuristic, sci fi, sci-fi, science fiction, scifi, space","alien, aliens, animation, computer animation, futuristic, sci fi, sci-fi, science fiction, scifi, space"
36,2.9969327476522265,"Me, Myself & Irene",Adventure|Comedy,2000,"dumb, funniest movies, funny, funny as hell","dumb, funniest movies, funny, funny as hell"
37,3.460519651539708,"Patriot, The",Action|Drama|War,2000,"epic, factual, war, violence","epic, factual, war, violence"
38,2.1901776384535006,"Adventures of Rocky and Bullwinkle, The",Adventure|Animation|Children|Comedy|Fantasy,2000,"animation, cartoon","animation, cartoon"
39,3.3259493670886076,Groove,Drama,2000,music,music
40,2.281144781144781,"In Crowd, The",Thriller,2000,"horrible, teen","horrible, teen"
41,2.558734939759036,Hollow Man,Horror|Sci-Fi|Thriller,2000,"mad scientist, sci fi, sci-fi, science fiction, scifi, technology","mad scientist, sci fi, sci-fi, science fiction, scifi, technology"
